"Year","Mean Gini-Simpson Index, Census Race Assignment","SD Gini-Simpson Index, Census Race Assignment","Mean Gini-Simpson Index, Wikipedia Race Assignment","SD Gini-Simpson Index, Wikipedia Race Assignment","Robust (3 Random Authors) Mean Gini-Simpson Index, Census Race Assignment","Robust (3 Random Authors) SD Gini-Simpson Index, Census Race Assignment","NA"
1979,"Patent-Cited",0.0922030651340996,0.0189750139803172,0.321281570099304,0.0259633423201308,0.0817369093231162,0.0185668474578622
1980,"Non-Patent-Cited",0.106315305917447,0.0071992455952997,0.307903296437272,0.00925584063716047,0.0998145338054291,0.00737076279981673
1980,"Patent-Cited",0.105708180708181,0.0195816429644704,0.311890683013132,0.0267428349682884,0.105006105006105,0.0203500203500204
1981,"Non-Patent-Cited",0.112558008967041,0.00707083634363276,0.28287433462509,0.00936863717209038,0.10357543690877,0.00720739327771048
1981,"Patent-Cited",0.1474170730239,0.0205145311534178,0.357172255332812,0.0219295634601831,0.125860373647984,0.0201204614279112
1982,"Non-Patent-Cited",0.115729283352106,0.00653827396247239,0.301616339808684,0.00815629928505241,0.10832064941654,0.00667155420919728
1982,"Patent-Cited",0.152302798982188,0.0193853776890255,0.331013570822731,0.0215964465634736,0.145886344359627,0.0196783678900097
1983,"Non-Patent-Cited",0.122920511553724,0.00663374899190333,0.304686045508575,0.00837316331168426,0.118399181690321,0.00682894906248083
1983,"Patent-Cited",0.154927746856318,0.0167279567943469,0.337726942516625,0.0188292531187833,0.136026936026936,0.0168281171703366
1984,"Non-Patent-Cited",0.126651062106113,0.0066720251839655,0.303391948961499,0.00836431954813249,0.118197924576057,0.00681697517743294
1984,"Patent-Cited",0.168412798334658,0.0168454813787447,0.319328370354943,0.0197161526103454,0.149545772187282,0.016882430200896
1985,"Non-Patent-Cited",0.120212539623946,0.00594728039539123,0.299390519256798,0.00753948513806409,0.111627906976744,0.00601095835528485
1985,"Patent-Cited",0.133604013909632,0.0137406972572737,0.32309579153952,0.0165039388132002,0.124530327428878,0.0141542118358459
1986,"Non-Patent-Cited",0.126725171683826,0.00461537057178662,0.32019766635344,0.00571205317626146,0.115368005429083,0.00469588045100976
1986,"Patent-Cited",0.135131675593826,0.0113436469552507,0.329904306129982,0.0146102719785588,0.129198966408269,0.0118611339456857
1987,"Non-Patent-Cited",0.138093969457579,0.00147220475304648,0.343589491032906,0.00176726873653024,0.124602293747688,0.00152684782179755
1987,"Patent-Cited",0.16629233163874,0.0034156768834523,0.370461706675454,0.00387175352207412,0.145995186302288,0.00357423342955108
1988,"Non-Patent-Cited",0.141770895735622,0.000924070452751192,0.348065806982444,0.00109789138728923,0.127191302483456,0.00095928641237383
1988,"Patent-Cited",0.165643247406449,0.00194121174199898,0.375641296974252,0.00218732994502998,0.145640713706407,0.00204978858683809
1989,"Non-Patent-Cited",0.145734635169105,0.000910878677416838,0.349613867725247,0.00107184239813406,0.130013335995942,0.000945466571216094
1989,"Patent-Cited",0.167473600737976,0.00186110059577271,0.373885072225368,0.00211691539559862,0.1462766204672,0.00196434531078599
1990,"Non-Patent-Cited",0.148369393993277,0.000883458020542414,0.35086689543433,0.00103337292670871,0.132696905497273,0.000916076047994732
1990,"Patent-Cited",0.175465259538633,0.00175193674899259,0.379606386023348,0.00196363094692186,0.15193761054832,0.00184598749030498
1991,"Non-Patent-Cited",0.155686816663775,0.000880871583444597,0.356033428140419,0.00102021500179172,0.13779724007992,0.000913269018229984
1991,"Patent-Cited",0.184931691400327,0.00169858862538068,0.388374747147899,0.00188322401707478,0.159948303139693,0.00179893213271912
1992,"Non-Patent-Cited",0.160719905993543,0.000887251187946204,0.359332106225991,0.0010160313576266,0.142661128598658,0.000923604834284546
1992,"Patent-Cited",0.195027062012445,0.00165428105458877,0.395661421283678,0.00179378770270347,0.167753947907765,0.00176330299812925
1993,"Non-Patent-Cited",0.167495995545521,0.000880306750453474,0.365599706504958,0.00099964015716374,0.148077400546225,0.000917183607288972
1993,"Patent-Cited",0.206945298556726,0.00161358739121761,0.40540635482982,0.00172923162978003,0.177433853128542,0.00172337466474177
1994,"Non-Patent-Cited",0.17470701440086,0.000877118937254252,0.369636490866188,0.000983665537152667,0.153898770138998,0.000914376470841845
1994,"Patent-Cited",0.218749489974805,0.00155476948341922,0.415382288087411,0.00164557362168011,0.187842202996161,0.00167151761473801
1995,"Non-Patent-Cited",0.179317811001569,0.00085537180290052,0.3746006227476,0.000954295555090013,0.157495053801402,0.000894716670453508
1995,"Patent-Cited",0.22372588268432,0.00148460930332906,0.420479644789309,0.00156335545525595,0.191797647774952,0.00159866828692365
1996,"Non-Patent-Cited",0.182378736769669,0.000844857766753857,0.37900468936175,0.000935077355440668,0.159057657599932,0.000882617903439506
1996,"Patent-Cited",0.231290163237667,0.00144607751483139,0.425900026651395,0.00151487329384159,0.197990405200569,0.00156819743931976
1997,"Non-Patent-Cited",0.185969208934986,0.000841062164509411,0.379603448784662,0.000933037786273113,0.16260335146129,0.000882236978134617
1997,"Patent-Cited",0.235159826381246,0.00143523078603013,0.430774823340185,0.00149966162888073,0.200553229129917,0.00155917689260084
1998,"Non-Patent-Cited",0.188423073158005,0.000838972985286036,0.383020090713539,0.000929858643459282,0.164920407337966,0.0008822989235822
1998,"Patent-Cited",0.241053515658233,0.00139958535104129,0.433214378557229,0.00144654660626521,0.202560145961316,0.00151836510238186
1999,"Non-Patent-Cited",0.195697984760398,0.000836191940157093,0.387035783992982,0.000922008079661018,0.170235241260336,0.000879220767352794
1999,"Patent-Cited",0.248113553188158,0.00138281607800074,0.43983906153144,0.00142628418941073,0.209736018151417,0.00150743465792961
2000,"Non-Patent-Cited",0.198504550778193,0.00081315528108257,0.387543673236681,0.000890964300138351,0.173025629131393,0.000856312318433841
2000,"Patent-Cited",0.251398208445228,0.00133661125421718,0.438567487702027,0.00138940672821913,0.21041184781107,0.00146294409455398
2001,"Non-Patent-Cited",0.205515747796993,0.000797069622623551,0.392522753150125,0.000872925865618479,0.177886682940563,0.000844197695662154
2001,"Patent-Cited",0.258188862695443,0.00133509856485984,0.444469228237711,0.00137056434416161,0.218669135312658,0.00146519073058278
2002,"Non-Patent-Cited",0.210787060536706,0.000790261850899646,0.395506585126407,0.0008568638693344,0.182556543363569,0.000837377162507258
2002,"Patent-Cited",0.261918514417979,0.00130271147867923,0.44886384597682,0.00134132662293372,0.219847925894722,0.00144056150776562
2003,"Non-Patent-Cited",0.217661777429222,0.000764733031074555,0.399604906175436,0.000829835675661595,0.187919557261849,0.00081344693382909
2003,"Patent-Cited",0.271604023287595,0.00129692433800145,0.454158928063016,0.00132307776659433,0.226740464625927,0.00142928652503531
2004,"Non-Patent-Cited",0.223338368844135,0.00073642197816484,0.404476394951844,0.000793824032297649,0.191784064117019,0.000784860269428611
2004,"Patent-Cited",0.28106583316164,0.0012462191190053,0.459224169695324,0.00127382467317471,0.234773735232937,0.00138357513481087
2005,"Non-Patent-Cited",0.228070673755824,0.000711741495037052,0.408185270424279,0.000762873122088419,0.195226133085516,0.00076039686323775
2005,"Patent-Cited",0.283728046191454,0.00123308553943374,0.462174752340451,0.0012528138546894,0.233905529687029,0.0013739981103652
2006,"Non-Patent-Cited",0.231254043451193,0.000690756846293539,0.411277664896218,0.000741249385858365,0.197504436760159,0.00073900174118849
2006,"Patent-Cited",0.290065611869118,0.00122430713449906,0.465311738389311,0.00124789236674114,0.240285918069898,0.00137556077202431
2007,"Non-Patent-Cited",0.235755205477631,0.000672220047677933,0.413521234939727,0.000718835023546204,0.201229426671164,0.000722048080634902
2007,"Patent-Cited",0.292062864348862,0.00123509635338556,0.469114042767111,0.00125879027318619,0.241367155785263,0.00139430919901545
2008,"Non-Patent-Cited",0.238652628464594,0.000652812536114091,0.416383864356535,0.000697287216373756,0.202002563199199,0.000700870980069314
